Porto[6041] numero 6: (205.03, 237.80) - 5 banchine
Porto[6042] numero 7: (611.94, 626.91) - 1 banchine
Porto[6043] numero 8: (146.55, 161.29) - 1 banchine
Porto[6047] numero 12: (585.25, 617.06) - 8 banchine
Porto[6048] numero 13: (290.55, 305.29) - 3 banchine
Porto[6052] numero 17: (640.57, 655.70) - 9 banchine
Porto[6053] numero 18: (257.36, 289.68) - 8 banchine
Porto[6056] numero 21: (607.71, 639.67) - 1 banchine
Porto[6057] numero 22: (316.42, 349.30) - 4 banchine
Porto[6069] numero 34: (495.77, 511.01) - 6 banchine
Porto[6062] numero 27: (776.75, 791.18) - 4 banchine
Porto[6063] numero 28: (811.35, 833.05) - 10 banchine
Porto[6064] numero 29: (905.75, 920.76) - 1 banchine
Porto[6038] numero 3: (1000.00, 1000.00) - 2 banchine
Porto[6070] numero 35: (173.36, 203.36) - 7 banchine
Porto[6035] numero 0: (0.00, 0.00) - 9 banchine
Porto[6084] numero 49: (408.09, 423.30) - 4 banchine
Porto[6039] numero 4: (786.53, 820.19) - 2 banchine
Porto[6071] numero 36: (806.85, 820.86) - 9 banchine
Porto[6040] numero 5: (982.78, 997.55) - 7 banchine
Porto[6036] numero 1: (1000.00, 0.00) - 10 banchine
Porto[6096] numero 61: (505.13, 541.83) - 7 banchine
Porto[6044] numero 9: (832.19, 847.94) - 8 banchine
Porto[6037] numero 2: (0.00, 1000.00) - 4 banchine
Porto[6045] numero 10: (1.77, 17.40) - 6 banchine
Porto[6046] numero 11: (677.82, 692.57) - 9 banchine
Porto[6049] numero 14: (780.40, 812.90) - 1 banchine
Porto[6050] numero 15: (582.22, 597.04) - 6 banchine
Porto[6076] numero 41: (518.69, 533.14) - 4 banchine
Porto[6051] numero 16: (576.43, 607.11) - 4 banchine
Porto[6054] numero 19: (92.94, 107.12) - 6 banchine
Porto[6055] numero 20: (210.66, 242.01) - 6 banchine
Porto[6058] numero 23: (778.03, 808.12) - 4 banchine
Porto[6059] numero 24: (831.04, 861.80) - 2 banchine
Porto[6060] numero 25: (630.30, 645.51) - 9 banchine
Porto[6061] numero 26: (474.93, 489.00) - 6 banchine
Porto[6077] numero 42: (590.74, 605.09) - 7 banchine
Porto[6067] numero 32: (363.15, 395.14) - 2 banchine
Porto[6068] numero 33: (954.04, 985.40) - 4 banchine
Porto[6065] numero 30: (642.85, 656.90) - 6 banchine
Porto[6072] numero 37: (413.22, 428.50) - 10 banchine
Porto[6073] numero 38: (459.73, 491.63) - 10 banchine
Porto[6074] numero 39: (266.11, 281.18) - 7 banchine
Porto[6066] numero 31: (24.31, 40.21) - 8 banchine
Porto[6075] numero 40: (179.48, 194.72) - 2 banchine
Porto[6078] numero 43: (635.23, 667.87) - 5 banchine
Porto[6085] numero 50: (498.54, 513.03) - 8 banchine
Porto[6079] numero 44: (811.29, 826.76) - 2 banchine
Porto[6080] numero 45: (537.88, 553.56) - 10 banchine
Porto[6081] numero 46: (778.07, 793.05) - 6 banchine
Porto[6082] numero 47: (845.46, 860.94) - 6 banchine
Porto[6083] numero 48: (823.99, 838.53) - 1 banchine
Porto[6088] numero 53: (483.45, 517.76) - 3 banchine
Porto[6089] numero 54: (950.60, 965.80) - 1 banchine
Porto[6090] numero 55: (561.60, 593.94) - 8 banchine
Porto[6091] numero 56: (912.70, 930.65) - 8 banchine
Porto[6092] numero 57: (255.36, 270.44) - 3 banchine
Porto[6097] numero 62: (752.91, 768.25) - 1 banchine
Porto[6087] numero 52: (222.08, 237.59) - 8 banchine
